Epoch,Train Loss,Train Accuracy,Eval Loss,Eval Accuracy
1,1.9673921555280685,0.2453125,1.7372556793689728,0.4066666666666667
2,1.5912237554788589,0.41328125,1.6031063270568848,0.43333333333333335
3,1.3831599555909633,0.50390625,1.562935213992993,0.37333333333333335
4,1.2021428402513266,0.546875,1.5762281299134095,0.42
5,1.1345030792057513,0.6015625,1.4717036178956429,0.46
6,1.0944484792649747,0.60078125,1.3344405626008908,0.47333333333333333
7,0.8593926854431629,0.68984375,1.4420900578610598,0.4666666666666667
8,0.6671867828816176,0.75625,1.7169474955275654,0.4866666666666667
9,0.5793188504874707,0.8015625,1.735536478823827,0.5533333333333333
10,0.35711672678589823,0.8640625,1.6497934387030546,0.5866666666666667
11,0.4207446169340983,0.85703125,1.515076149298111,0.5733333333333334
12,0.2777897891122848,0.909375,1.5059400612922036,0.5666666666666667
13,0.287053312221542,0.9015625,1.7205242118619692,0.58
14,0.2534664604230784,0.91484375,1.5174287943115148,0.5866666666666667
15,0.268967435171362,0.909375,1.960895702633349,0.58
16,0.20097312800353392,0.9390625,1.6947733250740808,0.5666666666666667
17,0.12337138754082844,0.9609375,1.6505195197514817,0.6133333333333333
18,0.09338666600742726,0.96796875,1.6391209374128144,0.62
19,0.031077918306255014,0.9890625,1.8521996920181119,0.6133333333333333
20,0.0160448471444397,0.9953125,1.9570029927116654,0.6133333333333333
21,0.104051540477667,0.96796875,2.1226020240588666,0.56
22,0.15200548553402768,0.9578125,1.8773879017038417,0.6066666666666667
23,0.2004393907089252,0.93203125,1.6594594190459369,0.62
24,0.16463763753999955,0.953125,1.7946682021797946,0.6066666666666667
25,0.1706217535509495,0.9546875,1.836995844469678,0.6066666666666667
26,0.12925868098973298,0.95625,1.801450853556962,0.6333333333333333
27,0.04802803023994784,0.98203125,2.076089839826703,0.6
28,0.025221589612556272,0.990625,1.9325401016701198,0.6533333333333333
29,0.01837076827432611,0.99296875,1.9259433273189992,0.6466666666666666
30,0.06451975486379524,0.98125,1.864370393015115,0.6533333333333333
31,0.06960789648583159,0.98203125,1.8429166820170333,0.6066666666666667
32,0.03251764056076354,0.990625,1.8862160717137593,0.62
33,0.02749707361108449,0.98828125,2.187499259229004,0.5733333333333334
34,0.03818446172017502,0.98828125,2.05537498875172,0.6266666666666667
35,0.05381130662499345,0.9828125,2.1253831129834833,0.58
36,0.03412752723543235,0.9875,2.150182870658743,0.6133333333333333
37,0.059710955639820894,0.9828125,2.3135386254349775,0.64
38,0.09089515044361178,0.971875,2.14194617447027,0.6266666666666667
39,0.11351422379884753,0.96484375,1.663283810073711,0.64
40,0.14848960095841904,0.95546875,1.5944889073720394,0.62
41,0.06721074960150872,0.98125,1.8048832764925828,0.6666666666666666
42,0.05917140794808802,0.98203125,2.090962472419866,0.6
43,0.15242666689155157,0.95859375,2.2420134469745623,0.54
44,0.10542140886900597,0.96640625,1.7799084295981629,0.62
45,0.0688665968229543,0.98515625,1.7397250248250415,0.6533333333333333
46,0.030879544406343485,0.99140625,1.7389203847477934,0.6333333333333333
47,0.024863477294002224,0.9890625,1.6958987111513328,0.66
48,0.00918301513465849,0.9953125,1.7315091581221205,0.6466666666666666
49,0.0026463966758001334,1.0,1.8306452864154172,0.68
50,0.0009012019950660032,1.0,1.8138271569782096,0.6666666666666666
51,0.00027878465117510133,1.0,1.8180929847161833,0.6666666666666666
52,0.0003286561324102877,1.0,1.8276118961080845,0.68
53,0.00020741252790230648,1.0,1.8392337167006918,0.6866666666666666
54,0.00020443706162041054,1.0,1.8412105999158885,0.6866666666666666
55,0.00015108170844087,1.0,1.8484388002035992,0.6866666666666666
56,0.00012967779469477136,1.0,1.8513877864124766,0.6866666666666666
57,0.00016146173055631152,1.0,1.8642253320052298,0.7
58,0.0001472385969464085,1.0,1.8554451248725632,0.7
59,0.00014015069917832078,1.0,1.8587275605316431,0.7
60,0.00010511316960446493,1.0,1.8658039892161022,0.7
61,7.998330863756564e-05,1.0,1.8710418226949226,0.7066666666666667
62,8.195034047844273e-05,1.0,1.8771211891458344,0.7066666666666667
63,6.4761290673232e-05,1.0,1.877963564452369,0.7133333333333334
64,9.334760553656452e-05,1.0,1.8721382785132263,0.7133333333333334
65,7.704292816157476e-05,1.0,1.881908352049799,0.7066666666666667
66,6.36692942521222e-05,1.0,1.8933003319666333,0.7
67,6.19712226239244e-05,1.0,1.9001890784346793,0.7
68,0.00011499138070405479,1.0,2.0110210133331803,0.7
69,9.519219403273383e-05,1.0,2.0399838173172906,0.68
70,6.0270422133612554e-05,1.0,2.040268520496972,0.68
71,7.375143811430007e-05,1.0,2.0296126128902925,0.6866666666666666
72,5.3670445481657225e-05,1.0,2.0237232301836747,0.6866666666666666
73,5.95830321685753e-05,1.0,2.0108386180120683,0.6866666666666666
74,4.487284904541866e-05,1.0,2.0126668074146568,0.6866666666666666
75,4.713567796272855e-05,1.0,2.0051321459930085,0.6933333333333334
76,4.154176113786434e-05,1.0,2.009506167562374,0.6933333333333334
77,4.5599167913223936e-05,1.0,2.00669586296961,0.7
78,3.032485327594259e-05,1.0,2.0064179146711907,0.7
79,3.0578187772789536e-05,1.0,2.008439586158399,0.7
80,4.237053894229348e-05,1.0,2.003248156554312,0.7
81,2.6581863772889845e-05,1.0,2.008644303923371,0.7
82,3.1012208737024594e-05,1.0,2.0113612911759073,0.6933333333333334
83,3.323731546487352e-05,1.0,2.008391668402143,0.6933333333333334
